NON_CORRELATED,CORRELATED95,COLUMNS_WITH_NAN
AGE3,ACTDEVER,UADCAR
SERVICE,ACTD9001,UADHOME
MILSTAT,ACTD7590,UADOTHM
ACTD2001,ACTDVIET,UADPUBL
NOMARR2,ACTDPRIV,UADBAR
HEALTH,COMBATPY,UADEVNT
MOVSINPYR2,LVLDIFWALK2,UADSCHL
SEXATRACT2,LVLDIFMEM2,UADROTH
SEXIDENT22,LVLDIFCARE2,CIG1PACK
SPEAKENGL,LVLDIFCOMM2,CIGAVGD
LVLDIFSEE2,IIMARIT,CIGAVGM
LVLDIFHEAR2,CATAGE,ALCNUMDKPM
IRSEX,CATAG3,SRCPNRNM2
IRMARIT,CATAG6,SRCTRQNM2
IREDUHIGHST2,CATAG7,SRCSTMNM2
IIEDUHIGHST2,SEXAGE,SRCSEDNM2
CATAG2,EDUFULPAR,SRCFRPNRNM
PREGAGE2,EDUSCKCOM,SRCFRTRQNM
DRVINAGE,EDUSKPMON,SRCFRSTMNM
DRVINDETAG,EDUSKPCOM,SRCFRSEDNM
NEWRACE2,MILTPARNT,SRCCLFRPNR
SEXRACE,MILTCHLDR,SRCCLFRTRQ
EDUHIGHCAT,MILTSIBLN,SRCCLFRSTM
EDUSCHLGO,ENRLCOLLST2,SRCCLFRSED
EDUSCHGRD2,WRKDPSTWK,SUNTCOST
EDUSCKMON,WRKDPSTYR,SUNTINSCV
EDUSCKEST,WRKNUMJOB2,SUNTENCV
EDUSKPEST,WRKNJBPYR,SUNTWHER
MILTFAMLY,WRKSICKMO,SUNTNOFND
MILTSPPAR,WRKSKIPMO,SUNTNOOPN
ENRLCOLLFT2,WRKDRGPOL,SUNTPROBS
WRKSTATWK2,WRKDRGEDU,SUNTTIME
WRKHADJOB,WRKDRGHLP,SUNTPRIV
WRKDHRSWK2,WRKTSTALC,SUNTPTHNK
WRK35WKUS,WRKTSTDRG,SUNTCONSQ
WRKRSNNOT,WRKTSTRDM,SUNTSTART
WRKRSNJOB,WRKTST1ST,SUNTQUIT
WRKEFFORT,WRKOKPREH,SUNTHNDL
WRKSELFEM,WRKOKRAND,SUNTFFLKE
WRKNJBWKS,IRWRKSTAT,SUNTFORCE
WRKLASTYR2,IIWRKSTAT,SUNTNOHLP
WRKDRGALB,II2WRKSTAT,SUNTCARE
WRKTSTHIR,IIWRKSTAT18,SCHFELT
IRWRKSTAT18,II2WRKST18,TCHGJOB
EDFAM18,IMOTHER,AVGGRADE
IRHHSIZ2,IFATHER,STNDSCIG
IIHHSIZ2,IIHH65_2,STNDSMJ
IRKI17_2,HLTINDRG,STNDALC
IIKI17_2,HLNVOFFR,STNDDNK
IRHH65_2,HLNVREF,PARCHKHW
PRXRETRY,HLNVNEED,PARHLPHW
PRXYDATA,HLNVSOR,PRCHORE2
MEDICARE,IIMEDICR,PRLMTTV2
CAIDCHIP,IIMCDCHP,PARLMTSN
CHAMPUS,IICHMPUS,PRGDJOB2
PRVHLTIN,IRPRVHLT,PRPROUD2
GRPHLTIN,IIPRVHLT,ARGUPAR
HLTINALC,IROTHHLT,YOFIGHT2
HLTINMNT,HLCALL99,YOGRPFT2
HLTINNOS,IRINSUR4,YOHGUN2
HLCNOTYR,IIINSUR4,YOSELL2
HLCNOTMO,CELLNOTCL,YOSTOLE2
HLCLAST,INCOME,YOATTAK2
HLLOSRSN,BKLARCNY,PRPKCIG2
HLNVCOST,BKBURGL,PRMJEVR2
IRMEDICR,BKSRVIOL,PRMJMO
IRMCDCHP,BKSMASLT,PRALDLY2
IRCHMPUS,BKROB,YFLPKCG2
IIOTHHLT,BKARSON,YFLTMRJ2
HLCALLFG,BKDRVINF,YFLMJMO
ANYHLTI2,BKDRUNK,YFLADLY2
OTHINS,BKDRUG,FRDPCIG2
CELLWRKNG,BKSEXNR,FRDMEVR2
IRFAMSOC,BKFRAUD,FRDMJMON
IIFAMSOC,BKOTH,FRDADLY2
IRFAMSSI,CIGTRY,TALKPROB
IIFAMSSI,CIGREC,PRTALK3
IRFSTAMP,CIG30AV,PRBSOLV2
IIFSTAMP,CIGMENTH30,PREVIOL2
IRFAMPMT,CIGROLL30,PRVDRGO2
IIFAMPMT,CIGDLYMO,GRPCNSL2
IRFAMSVC,CIG100LF,PREGPGM2
IIFAMSVC,NICVAPREC,YTHACT2
IRWELMOS,SMKLSSREC,DRPRVME3
IIWELMOS,CIGARREC,ANYEDUC3
IRPINC3,CIGIRTBL,RLGATTD
IIPINC3,CIGCRAVE,RLGIMPT
IRFAMIN3,CIGCRAGP,RLGDCSN
IIFAMIN3,CIGINCTL,RLGFRND
GOVTPROG,CIGAVOID,YUSUITHKYR
BOOKED,CIGFNSMK,YUCOSUITHK2
NOBOOKY2,CIGPLANE,YUSUIPLNYR
BKMVTHFT,CIGRNOUT,YUCOSUIPLN2
BKPOSTOB,CIGREGDY,KSSLR6MONED
BKOTHOF2,CIGREGWK,KSSLR6YRED
PROBATON,CIGREGNM,WHODASSCED
PAROLREL,CIGNMCHG,WHODASDAED
DRVINALCO,CIGSVLHR,IRSUICTHNK
DRVINMARJ,CIGINFLU,IRCOSUITHNK
DRVINCOCN,CIGNOINF,IRSUIPLANYR
DRVINHERN,CIGINCRS,IRCOSUIPLNYR
DRVINHALL,CIGSATIS,IRSUITRYYR
DRVININHL,CIGLOTMR,IRCOSUITRYYR
DRVINMETH,CIGWAKE,KSSLR6MON
DRVINALON,ALCMFU,SPDPSTMON
MXMJPNLT,ALCREC,KSSLR6YR
CIGEVER,ALCYRTOT,KSSLR6MAX
CIGYFU,ALBSTWAY,SPDPSTYR
CIGMFU,ALCBNG30D,AKSSLR6WRST
CIG30USE,CADRLAST,WHODASTOTSC
CG30EST,CADRCAR,WHODASDASC
CIGAGE,CADRHOME,SMIPPPY
CIGDLYFU,CADROTHM,SMIPY
CIGDLMFU,CADRPUBL,AMIPY
NICVAPEVER,CADRBAR,SMMIPY
NICVAPAGE,CADREVNT,MMIPY
NICVAPYFU,CADRSCHL,LMIPY
NICVAPMFU,CADROTH,LMMIPY
NICVAP30N,CABUYFRE,MICATPY
SMKLSSEVR,CABINGEVR,SMISUD5ANY
SMKLSSTRY,CABINGMFU,AMISUD5ANY
SMKLSSYFU,MJREC,LMMISUD5ANY
SMKLSSMFU,MJYRTOT,SMIRSUD5ANY
SMKLSS30N,MRBSTWAY,SMISUD5ANYO
SMKLSS30E,MJYRSMOKE,AMIRSUD5ANY
CIGAREVR,MJYRVAPE,AMISUD5ANYO
CIGARTRY,MJYRDAB,ADSUITPAYR
CIGARYFU,MJYREAT,ADSUITPACOM
CIGARMFU,MJYRMOUTH,AMDELT
CGR30USE,MJYRSKIN,AMDEYR
CI30EST,MJYRPILL,ASDSHOM2
PIPEVER,MJYROTHER,ASDSWRK2
PIPE30DY,MJMONSMOKE,ASDSREL2
CIGFNLKE,MJMONVAPE,ASDSSOC2
IRPMNICDEP,MJMONDAB,AMDEIMP
IIPMNICDEP,MJMONEAT,IRAMDELT
ALCEVER,MJMONMOUTH,IRAMDEYR
ALCTRY,MJMONSKIN,IRAMDEIMP
ALCYFU,MJMONPILL,ATXMDEYR
ALTOTFG,MJANYMEDYR,ARXMDEYR
ALFQFLG,MKMBGHTYR,AMDETXRX
ALDAYPYR,MKMTRADEYR,ADOCMDE
ALDAYPMO,MKMFREEYR,AOMDMDE
ALDAYPWK,MKMGREWYR,APSY1MDE
ALCDAYS,MKMOTHWAYYR,APSY2MDE
AL30EST,MKMAMTPDCOM2,ASOCMDE
ALDYSFG,MKMBGHTDISP,ACOUNMDE
ALCUS30D,MKMBGHTJNT,AOMHMDE
CADRPEOP,MKMBGHTLOO,ANURSMDE
CADROTS2,MKMBGHTVAPE,ARELMDE
CAGVMONY,MKMBGHTDAB,AHBCHMDE
CABUYWHO,MKMBGHTEDBLE,AHLTMDE
CABPLACE,MKMBGHTDRPS,AALTMDE
CABUNDAG,MKMBGHTLTN,YMDELT
CAGVWHO,MKMBGHTPILL,YMDEYR
CAFREWHO,MKMBGHTOTH,YMDEAUD5YR
CAFRESP2,MKMSELLMRJ,YMIUD5YANY
CADRKDRUG,BLNTREC,YMSUD5YANY
CADRKMARJ,COCREC,YMDERSUD5ANY
CADRKCOCN,COCYRTOT,YMDESUD5ANYO
CADRKHERN,CCBSTWAY,YTXMDEYR
CADRKHALL,CRKEVER,YRXMDEYR
CADRKINHL,CRAKREC,YMDETXRX
CADRKMETH,CRBSTWAY,YDOCMDE
CABINGFLG,HERREC,YOMDMDE
CABINGAGE,HRBSTWAY,YPSY1MDE
CABINGYFU,PCP,YPSY2MDE
EIBINGAGE,PEYOTE,YSOCMDE
EIBINGYFU,MESC,YCOUNMDE
EIBINGMFU,PSILCY,YOMHMDE
CBDHMPEVR,ECSTMOLLY,YNURSMDE
CBDHMPREC,KETMINESK,YRELMDE
MJEVER,DMTAMTFXY,YHBCHMDE
MJAGE,SALVIADIV,YHLTMDE
MJYFU,HALLUCOTH,YALTMDE
MJMFU,HALLUCEVR,YMDEHPRX
